,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1973.0,13.0,27.0,0.0,63.0
1,1968.0,7.0,32.0,1.0,70.0
2,1965.0,2.0,35.0,2.0,72.0
3,1963.0,1.0,37.0,3.0,73.0
4,1962.0,0.0,38.0,4.0,73.0
5,1962.0,0.0,38.0,5.0,73.0
6,1962.0,0.0,38.0,6.0,73.0
7,1962.0,0.0,38.0,7.0,73.0
8,1962.0,0.0,38.0,8.0,73.0
9,1962.0,0.0,38.0,9.0,73.0
10,1962.0,0.0,38.0,10.0,73.0
11,1962.0,0.0,38.0,11.0,73.0
12,1962.0,0.0,38.0,12.0,73.0
13,1962.0,0.0,38.0,13.0,73.0
14,1962.0,0.0,38.0,14.0,73.0
15,1962.0,0.0,38.0,15.0,73.0
16,1962.0,0.0,38.0,16.0,73.0
17,1962.0,0.0,38.0,17.0,73.0
18,1962.0,0.0,38.0,18.0,73.0
19,1962.0,0.0,38.0,19.0,73.0
20,1962.0,0.0,38.0,20.0,73.0
